區域,行業分類,會員編號,公司名稱,詳情網址
檳吉,行業分類,NIA01109,越南百宏責任有限公司,https://btbvn.vn/NIA01109
檳吉,行業分類,NIA01104,越南螺絲責任有限公司,https://btbvn.vn/NIA01104
檳吉,行業分類,NIA01631,越南權昱工業責任有限公司,https://btbvn.vn/NIA01631
檳吉,行業分類,NIA00614,英德越南工業責任有限公司,https://btbvn.vn/NIA00614
檳吉,行業分類,NIA01096,RTI (越南)責任有限公司,https://btbvn.vn/NIA01096
檳吉,行業分類,NIA01093,正隆平陽造紙責任有限公司,https://btbvn.vn/NIA01093
檳吉,行業分類,NIA00634,雄港(樂台)精密責任有限公司,https://btbvn.vn/NIA00634
檳吉,行業分類,NIA01086,越南寶勝責任有限公司,https://btbvn.vn/NIA01086
檳吉,行業分類,NIA01085,東元科技(越南)責任有限公司,https://btbvn.vn/NIA01085
檳吉,行業分類,NIA00641,金寶責任有限公司,https://btbvn.vn/NIA00641
檳吉,行業分類,NIA01083,聯昌責任有限公司,https://btbvn.vn/NIA01083
檳吉,行業分類,NIA00670,力鑫工業責任有限公司,https://btbvn.vn/NIA00670
檳吉,行業分類,NIA00678,德達工業有限公司,https://btbvn.vn/NIA00678
檳吉,行業分類,NIA01576,越南鼎特力科科技有限公司,https://btbvn.vn/NIA01576
檳吉,行業分類,NIA00731,越南金泰責任有限公司,https://btbvn.vn/NIA00731
檳吉,行業分類,NIA01560,兆順科技有限公司,https://btbvn.vn/NIA01560
檳吉,行業分類,NIA00691,信凱稅務會計股份有限公司,https://btbvn.vn/NIA00691
檳吉,行業分類,NIA00714,翔笛包裝器材有限公司,https://btbvn.vn/NIA00714
檳吉,行業分類,NIA00717,越南吉田精密有限公司,https://btbvn.vn/NIA00717
檳吉,行業分類,NIA01031,越南新順責任有限公司,https://btbvn.vn/NIA01031
檳吉,行業分類,NIA01028,"VISTARR SPORTS CO.,LTD",https://btbvn.vn/NIA01028
檳吉,行業分類,NIB00755,PROTRADE INTERNATIONAL ONE MEMBER COMPANY LIMITED,https://btbvn.vn/NIB00755
檳吉,行業分類,NIA01016,越南亦昇皮革責任有限公司,https://btbvn.vn/NIA01016
檳吉,行業分類,NIA00804,越南登琳實業有限公司,https://btbvn.vn/NIA00804
檳吉,行業分類,NIA00826,盛昌科技股份有限公司,https://btbvn.vn/NIA00826
檳吉,行業分類,NIA00837,越南鑽石有限公司,https://btbvn.vn/NIA00837
檳吉,行業分類,NIA00999,禎祥實業股份有限公司,https://btbvn.vn/NIA00999
檳吉,行業分類,NIA00989,金武明責任有限公司,https://btbvn.vn/NIA00989
檳吉,行業分類,NIA00988,弘易責任有限公司,https://btbvn.vn/NIA00988
檳吉,行業分類,NIA00965,偉程（越南）責任有限公司,https://btbvn.vn/NIA00965
檳吉,行業分類,NIA00871,越南佶聯紡織科技責任有限公司,https://btbvn.vn/NIA00871
檳吉,行業分類,NIA00888,遠東紡纖越南有限公司,https://btbvn.vn/NIA00888
檳吉,行業分類,NIA00896,越南唯鼎織造有限公司,https://btbvn.vn/NIA00896
檳吉,行業分類,NIA00916,巴斯彩色印刷責任有限公司,https://btbvn.vn/NIA00916
檳吉,行業分類,NIA00905,井得工業責任有限公司,https://btbvn.vn/NIA00905
檳吉,行業分類,NIA00899,越南首君責任有限公司,https://btbvn.vn/NIA00899
檳吉,行業分類,NIA01528,冠勝高分子科技有限公司,https://btbvn.vn/NIA01528
檳吉,行業分類,NIA01314,貿錦責任有限公司,https://btbvn.vn/NIA01314
檳吉,行業分類,NIB01532,興福投資股份公司,https://btbvn.vn/NIB01532
檳吉,行業分類,NIA00082,振傑股份公司,https://btbvn.vn/NIA00082
檳吉,行業分類,NIA01545,大軫金屬責任有限公司,https://btbvn.vn/NIA01545
檳吉,行業分類,NIA01566,羅發精工越南有限公司,https://btbvn.vn/NIA01566
檳吉,行業分類,NIB01569,盈發達建築有限公司,https://btbvn.vn/NIB01569
檳吉,旅游住宿及娛樂服務,NIA00041,皇茶國際旅行社,https://btbvn.vn/NIA00041
檳吉,旅游住宿及娛樂服務,NIA01453,越南商匯有限公司,https://btbvn.vn/NIA01453
檳吉,旅游住宿及娛樂服務,NIA01613,新天慶投資責任有限公司,https://btbvn.vn/NIA01613
檳吉,旅游住宿及娛樂服務,NIA00412,維鴻明式傢俱公司/  維鴻良威保全公司,https://btbvn.vn/NIA00412
檳吉,旅游住宿及娛樂服務,NIB01369,金荷花環保責任有限公司,https://btbvn.vn/NIB01369
檳吉,旅游住宿及娛樂服務,NIA01018,"KI-WORKS VIETNAM CO.,LTD",https://btbvn.vn/NIA01018
檳吉,旅游住宿及娛樂服務,NIA00952,天外天 KTV,https://btbvn.vn/NIA00952
檳吉,旅游住宿及娛樂服務,NIB01532,興福投資股份公司,https://btbvn.vn/NIB01532
檳吉,商務法律服務,NIA00085,恆新責任有限公司,https://btbvn.vn/NIA00085
檳吉,商務法律服務,NIA01505,安聯法律事務所,https://btbvn.vn/NIA01505
檳吉,商務法律服務,NIA01487,東方超捷國際物流(越南)股份有限公司,https://btbvn.vn/NIA01487
檳吉,商務法律服務,NIA01611,林豐商務聯合法律責任有限公司,https://btbvn.vn/NIA01611
檳吉,商務法律服務,NIB01636,CPA 審計有限公司,https://btbvn.vn/NIB01636
檳吉,商務法律服務,NIA00423,動點管理顧問有限公司,https://btbvn.vn/NIA00423
檳吉,商務法律服務,NIB01470,鑫藍稅務顧問會計勞務責任有限公司,https://btbvn.vn/NIB01470
檳吉,商務法律服務,NIB01369,金荷花環保責任有限公司,https://btbvn.vn/NIB01369
檳吉,商務法律服務,NIA00691,信凱稅務會計股份有限公司,https://btbvn.vn/NIA00691
檳吉,商務法律服務,NIA00748,恒利服務集團,https://btbvn.vn/NIA00748
檳吉,商務法律服務,NIA00938,KPMG LIMITED BRANCH,https://btbvn.vn/NIA00938
檳吉,商務法律服務,NIB00924,WIN WIN 審計責任有限公司,https://btbvn.vn/NIB00924
檳吉,商務法律服務,NIA00922,智懃會計公司,https://btbvn.vn/NIA00922
檳吉,商務法律服務,NIA00941,PWC (Vietnam) Limited,https://btbvn.vn/NIA00941
檳吉,商務法律服務,NIA01575,綠境ESG顧問股份有限公司,https://btbvn.vn/NIA01575
檳吉,土地房屋開發與銷售,NIA01500,鴻福建築實業公司,https://btbvn.vn/NIA01500
檳吉,土地房屋開發與銷售,NIB01584,環成發建築責任有限公司,https://btbvn.vn/NIB01584
檳吉,土地房屋開發與銷售,NIA00365,大登建設開發有限公司,https://btbvn.vn/NIA00365
檳吉,土地房屋開發與銷售,NIA01409,倍特不動產經紀有限公司,https://btbvn.vn/NIA01409
檳吉,土地房屋開發與銷售,NIA00488,越南歐旻傢俱股份有限公司,https://btbvn.vn/NIA00488
檳吉,土地房屋開發與銷售,NIA01425,越南高點家具有限公司,https://btbvn.vn/NIA01425-
檳吉,土地房屋開發與銷售,NIA00748,恒利服務集團,https://btbvn.vn/NIA00748
檳吉,土地房屋開發與銷售,NIA01018,"KI-WORKS VIETNAM CO.,LTD",https://btbvn.vn/NIA01018
檳吉,土地房屋開發與銷售,NIB00755,PROTRADE INTERNATIONAL ONE MEMBER COMPANY LIMITED,https://btbvn.vn/NIB00755
檳吉,土地房屋開發與銷售,NIB00868,東急 BECAMEX 責任有限公司,https://btbvn.vn/NIB00868
檳吉,土地房屋開發與銷售,NIB01532,興福投資股份公司,https://btbvn.vn/NIB01532
檳吉,土地房屋開發與銷售,NIB01557,明興-SIKICO 工業股公司,https://btbvn.vn/NIB01557
檳吉,塑膠橡膠加工製品,NIA00008,今立塑膠工業股份有限公司,https://btbvn.vn/NIA00008
檳吉,塑膠橡膠加工製品,NIA00018,眾安科技股份有限公司,https://btbvn.vn/NIA00018
檳吉,塑膠橡膠加工製品,NIA00019,東隆興業(越南)有限公司,https://btbvn.vn/NIA00019
檳吉,塑膠橡膠加工製品,NIA00037,超越橡膠廠責任有限公司,https://btbvn.vn/NIA00037
檳吉,塑膠橡膠加工製品,NIA01608,德斯坤越南越南責任有限公司,https://btbvn.vn/NIA01608
檳吉,塑膠橡膠加工製品,NIA00069,四維精密材料（平陽）股份有限公司,https://btbvn.vn/NIA00069
檳吉,塑膠橡膠加工製品,NIA00076,和昶興塑膠工業(股)公司,https://btbvn.vn/NIA00076
檳吉,塑膠橡膠加工製品,NIA00090,成宏壓克力責任有限公司,https://btbvn.vn/NIA00090
檳吉,塑膠橡膠加工製品,NIA01493,開佰責任有限公司,https://btbvn.vn/NIA01493
檳吉,塑膠橡膠加工製品,NIA00185,富山春興業股份有限公司,https://btbvn.vn/NIA00185
檳吉,塑膠橡膠加工製品,NIA00210,加保(越南)保麗龍有限公司,https://btbvn.vn/NIA00210
檳吉,塑膠橡膠加工製品,NIA00226,禾家塑膠工業股份有限公司,https://btbvn.vn/NIA00226
檳吉,塑膠橡膠加工製品,NIA01461,震雄機械越南有限公司,https://btbvn.vn/NIA01461
檳吉,塑膠橡膠加工製品,NIA00315,煜達石化工業有限公司,https://btbvn.vn/NIA00315
檳吉,塑膠橡膠加工製品,NIA00341,順利責任有限公司,https://btbvn.vn/NIA00341
檳吉,塑膠橡膠加工製品,NIA00343,越南良機實業有限公司,https://btbvn.vn/NIA00343
檳吉,塑膠橡膠加工製品,NIA00354,和光越南有限公司,https://btbvn.vn/NIA00354
檳吉,塑膠橡膠加工製品,NIA00366,越南台展塑膠工業責任有限公司,https://btbvn.vn/NIA00366
檳吉,塑膠橡膠加工製品,NIA00369,雅正塑膠責任有限公司,https://btbvn.vn/NIA00369
檳吉,塑膠橡膠加工製品,NIA00392,佳美越南股份有限公司,https://btbvn.vn/NIA00392
檳吉,塑膠橡膠加工製品,NIA00406,金樹(越南)塑膠工業有限公司,https://btbvn.vn/NIA00406
檳吉,塑膠橡膠加工製品,NIA01436,越南南良責任有限公司,https://btbvn.vn/NIA01436
檳吉,塑膠橡膠加工製品,NIA00419,佛泰(越南)企業股份有限公司,https://btbvn.vn/NIA00419
檳吉,塑膠橡膠加工製品,NIA00428,杰格國際越南責任有限公司,https://btbvn.vn/NIA00428
檳吉,塑膠橡膠加工製品,NIA00429,集泉塑膠（越南）責任有限,https://btbvn.vn/NIA00429
檳吉,塑膠橡膠加工製品,NIA00434,越南永欣塑膠有限公司,https://btbvn.vn/NIA00434
檳吉,塑膠橡膠加工製品,NIA00443,銀泰責任有限公司,https://btbvn.vn/NIA00443
檳吉,塑膠橡膠加工製品,NIB01410,越南永興有限公司,https://btbvn.vn/NIB01410
檳吉,塑膠橡膠加工製品,NIA00473,志豪貿易責任有限公司,https://btbvn.vn/NIA00473
檳吉,塑膠橡膠加工製品,NIA01388,今立美福責任有限公司,https://btbvn.vn/NIA01388
檳吉,塑膠橡膠加工製品,NIA01374,世霸龍保溫材料有限公司,https://btbvn.vn/member
檳吉,塑膠橡膠加工製品,NIA01580,台中精機廠股份有限公司,https://btbvn.vn/NIA01580
檳吉,塑膠橡膠加工製品,NIA01341,台橡(越南)責任有限公司,https://btbvn.vn/NIA01341
檳吉,塑膠橡膠加工製品,NIA01322,傑龍股份有限公司,https://btbvn.vn/NIA01322
檳吉,塑膠橡膠加工製品,NIA01321,越南英全工業有限公司,https://btbvn.vn/NIA01321
檳吉,塑膠橡膠加工製品,NIA01298,晉宏塑料有限公司,https://btbvn.vn/NIA01298
檳吉,塑膠橡膠加工製品,NIA00524,越南宏全責任有限公司,https://btbvn.vn/NIA00524
檳吉,塑膠橡膠加工製品,NIA01277,金有達責任有限公司(越南廠),https://btbvn.vn/NIA01277
檳吉,塑膠橡膠加工製品,NIA01274,越南南洲NEOPRENE責任有限公司,https://btbvn.vn/NIA01274
檳吉,塑膠橡膠加工製品,NIA00541,穩泰責任有限公司,https://btbvn.vn/NIA00541
檳吉,塑膠橡膠加工製品,NIA00552,蘭英生產貿易進口責任有限公司(宏達),https://btbvn.vn/NIA00552
檳吉,塑膠橡膠加工製品,NIA01241,精毅五金責任有限公司,https://btbvn.vn/NIA01241
檳吉,塑膠橡膠加工製品,NIA01226,麗興責任有限公司,https://btbvn.vn/NIA01226
檳吉,塑膠橡膠加工製品,NIA01156,越利股份有限公司,https://btbvn.vn/NIA01156
檳吉,塑膠橡膠加工製品,NIA01151,越南平陽日貿塑膠科技有限公司,https://btbvn.vn/NIA01151
檳吉,塑膠橡膠加工製品,NIA01148,越南龍勝責任有限公司,https://btbvn.vn/NIA01148
檳吉,塑膠橡膠加工製品,NIA00292,國豐越南責任有限公司,https://btbvn.vn/NIA00292
檳吉,塑膠橡膠加工製品,NIA01111,越南邦泰責任有限公司,https://btbvn.vn/NIA01111
檳吉,塑膠橡膠加工製品,NIA01096,RTI (越南)責任有限公司,https://btbvn.vn/NIA01096
檳吉,塑膠橡膠加工製品,NIA00648,越南色真塑料有限公司,https://btbvn.vn/NIA00648
檳吉,塑膠橡膠加工製品,NIA00678,德達工業有限公司,https://btbvn.vn/NIA00678
檳吉,塑膠橡膠加工製品,NIA01559,崑仲股份有限公司,https://btbvn.vn/NIA01559
檳吉,塑膠橡膠加工製品,NIA01007,越銘金屬塑料責任有限公司,https://btbvn.vn/NIA01007
檳吉,塑膠橡膠加工製品,NIA00835,萬洲科技（越南）責任有限公司,https://btbvn.vn/NIA00835
檳吉,塑膠橡膠加工製品,NIA00989,金武明責任有限公司,https://btbvn.vn/NIA00989
檳吉,塑膠橡膠加工製品,NIA00869,越南久林責任有限公司,https://btbvn.vn/NIA00869
檳吉,塑膠橡膠加工製品,NIA01530,泓振越南包装责任有限公司,https://btbvn.vn/NIA01530
檳吉,塑膠橡膠加工製品,NIA01528,冠勝高分子科技有限公司,https://btbvn.vn/NIA01528
檳吉,塑膠橡膠加工製品,NIA00433,越南德淵有限公司,https://btbvn.vn/NIA00433
檳吉,塑膠橡膠加工製品,NIA01607,越南精銳科技股份有限公司,https://btbvn.vn/NIA01607
檳吉,塑膠橡膠加工製品,NIA00627,千越責任有限公司,https://btbvn.vn/NIA00627
檳吉,塑膠橡膠加工製品,NIA01600,旭峰貿易有限公司,https://btbvn.vn/NIA01600
檳吉,塑膠橡膠加工製品,NIA01603,世高股份公司,https://btbvn.vn/NIA01603
檳吉,塑膠橡膠加工製品,NIA01550,光晏越南責任有限公司,https://btbvn.vn/NIA01550
檳吉,建築工程及建材、環保工程,NIA00015,旭佳(越南)責任有限公司,https://btbvn.vn/NIA00015
檳吉,建築工程及建材、環保工程,NIA01598,'群創能源科技股份有限公司 (台灣公司) 越生太陽能 (越南),https://btbvn.vn/NIA01598
檳吉,建築工程及建材、環保工程,NIA01506,平陽錦林責任有限公司,https://btbvn.vn/NIA01506
檳吉,建築工程及建材、環保工程,NIA00090,成宏壓克力責任有限公司,https://btbvn.vn/NIA00090
檳吉,建築工程及建材、環保工程,NIA01500,鴻福建築實業公司,https://btbvn.vn/NIA01500
檳吉,建築工程及建材、環保工程,NIB01584,環成發建築責任有限公司,https://btbvn.vn/NIB01584
檳吉,建築工程及建材、環保工程,NIA00163,冠賢機電股份有限公司,https://btbvn.vn/NIA00163
檳吉,建築工程及建材、環保工程,NIA00169,越南虎牌高科技鋁門窗責任有限公司,https://btbvn.vn/NIA00169
檳吉,建築工程及建材、環保工程,NIA00204,東新工業責任有限公司,https://btbvn.vn/NIA00204
檳吉,建築工程及建材、環保工程,NIA00225,宜興國際責任有限公司,https://btbvn.vn/NIA00225
檳吉,建築工程及建材、環保工程,NIA01464,GSD 環境科技越南責任有限公司,https://btbvn.vn/NIA01464
檳吉,建築工程及建材、環保工程,NIA01451,越泰豐機電責任有限公司,https://btbvn.vn/NIA01451
檳吉,建築工程及建材、環保工程,NIA00257,越南華大企業有限公司,https://btbvn.vn/NIA00257
檳吉,建築工程及建材、環保工程,NIA00328,長鴻工程責任有限公司,https://btbvn.vn/NIA00328
檳吉,建築工程及建材、環保工程,NIA00343,越南良機實業有限公司,https://btbvn.vn/NIA00343
檳吉,建築工程及建材、環保工程,NIA00371,廣聯天車電梯責任有限公司,https://btbvn.vn/NIA00371
檳吉,建築工程及建材、環保工程,NIA00402,正合建築工程責任有限公司,https://btbvn.vn/NIA00402
檳吉,建築工程及建材、環保工程,NIA00411,東昌系統工程責任有限公司,https://btbvn.vn/NIA00411
檳吉,建築工程及建材、環保工程,NIA00438,懋森實業有限公司,https://btbvn.vn/NIA00438
檳吉,建築工程及建材、環保工程,NIA01409,倍特不動產經紀有限公司,https://btbvn.vn/NIA01409
檳吉,建築工程及建材、環保工程,NIA01401,阿波羅綠能科技有限公司,https://btbvn.vn/NIA01401
檳吉,建築工程及建材、環保工程,NIA00492,自力重鋼&營造工程責任有限公司,https://btbvn.vn/NIA00492
檳吉,建築工程及建材、環保工程,NIA01384,南寶-納路漆越南有限公司,https://btbvn.vn/NIA01384
檳吉,建築工程及建材、環保工程,NIA00514,越大建築責任有限公司,https://btbvn.vn/NIA00514
檳吉,建築工程及建材、環保工程,NIA01335,大河新能源科技有限公司 (大亞照明),https://btbvn.vn/NIA01335
檳吉,建築工程及建材、環保工程,NIA01585,金達發責任有限公司,https://btbvn.vn/NIA01585
檳吉,建築工程及建材、環保工程,NIA00595,大亞(越南)電線電纜股份公司,https://btbvn.vn/NIA00595
檳吉,建築工程及建材、環保工程,NIA00605,越南正源五金責任有限公司,https://btbvn.vn/NIA00605
檳吉,建築工程及建材、環保工程,NIA01240,CIG科技有限公司 (擎億),https://btbvn.vn/NIA01240
檳吉,建築工程及建材、環保工程,NIA01218,越南協旭機械有限公司,https://btbvn.vn/NIA01218
檳吉,建築工程及建材、環保工程,NIB01199,佑吉電機 (越南) 責任有限公司,https://btbvn.vn/NIB01199
檳吉,建築工程及建材、環保工程,NIA01149,明影鋁業責任有限公司,https://btbvn.vn/NIA01149
檳吉,建築工程及建材、環保工程,NIA00234,台南建築責任有限公司,https://btbvn.vn/NIA00234
檳吉,建築工程及建材、環保工程,NIA00671,富昇龍設計與建築責任有限公司,https://btbvn.vn/NIA00671
檳吉,建築工程及建材、環保工程,NIA01079,白木屋責任有限公司,https://btbvn.vn/NIA01079
檳吉,建築工程及建材、環保工程,NIA01045,翌豐責任有限公司,https://btbvn.vn/NIA01045
檳吉,建築工程及建材、環保工程,NIA00776,千億股份有限公司,https://btbvn.vn/NIA00776
檳吉,建築工程及建材、環保工程,NIA00821,成銘機電空調工程公司,https://btbvn.vn/NIA00821
檳吉,建築工程及建材、環保工程,NIA01004,章鼎環保科技股份有限公司,https://btbvn.vn/NIA01004
檳吉,建築工程及建材、環保工程,NIB00984,越南新加坡工業園聯營責任有限公司,https://btbvn.vn/NIB00984
檳吉,建築工程及建材、環保工程,NIA00974,毓山營造工程有限公司,https://btbvn.vn/NIA00974
檳吉,建築工程及建材、環保工程,NIA00963,亞東越南責任有限公司,https://btbvn.vn/NIA00963
檳吉,建築工程及建材、環保工程,NIA00878,義大利門板有限公司,https://btbvn.vn/NIA00878
檳吉,建築工程及建材、環保工程,NIA01628,寰宇室內裝修有限公司,https://btbvn.vn/NIA01628
檳吉,建築工程及建材、環保工程,NIA00902,越克責任有限公司,https://btbvn.vn/NIA00902
檳吉,建築工程及建材、環保工程,NIA01519,神盟超技股份有限公司,https://btbvn.vn/NIA01519
檳吉,建築工程及建材、環保工程,NIA01605,明陽企業責任有限公司,https://btbvn.vn/NIA01605
檳吉,建築工程及建材、環保工程,NIA01115,PROCHAIN(越南)綠色建築有限公司,https://btbvn.vn/NIA01115
檳吉,建築工程及建材、環保工程,NIA01216,越南金日實業有限公司,https://btbvn.vn/NIA01216
檳吉,建築工程及建材、環保工程,NIB01532,興福投資股份公司,https://btbvn.vn/NIB01532
檳吉,建築工程及建材、環保工程,NIA01142,陽光市集,https://btbvn.vn/NIA01142
檳吉,建築工程及建材、環保工程,NIB01569,盈發達建築有限公司,https://btbvn.vn/NIB01569
檳吉,建築工程及建材、環保工程,NIA01571,禾川防水塗料責任有限公司,https://btbvn.vn/NIA01571
檳吉,文教、廣告傳播、印刷相關,NIA01581,業起印刷責任有限公司,https://btbvn.vn/NIA01581
檳吉,文教、廣告傳播、印刷相關,NIA00144,泰一紙器有限公司,https://btbvn.vn/NIA00144
檳吉,文教、廣告傳播、印刷相關,NIA00290,偉瀧印刷責任有限公司,https://btbvn.vn/NIA00290
檳吉,文教、廣告傳播、印刷相關,'NIA01621,越南LED光電工程有限公司,https://btbvn.vn/-NIA01621
檳吉,文教、廣告傳播、印刷相關,NIA01623,宇日昌企業有限公司,https://btbvn.vn/NIA01623
檳吉,文教、廣告傳播、印刷相關,NIA00504,"MAXIM LABEL & PACKAGING VIETNAM CO.,LTD",https://btbvn.vn/NIA00504
檳吉,文教、廣告傳播、印刷相關,NIA01320,石梅材料(越南)責任有限公司,https://btbvn.vn/NIA01320
檳吉,文教、廣告傳播、印刷相關,NIA01282,國立高雄科技大學,https://btbvn.vn/NIA01282
